date,appliances,lights,t1,rh_1,t2,rh_2,t3,rh_3,t4,rh_4,t5,rh_5,t6,rh_6,t7,rh_7,t8,rh_8,t9,rh_9,t_out,press_mm_hg,rh_out,wind_speed,visibility,tdew_point,weekstatus,day_of_week,hour,hour_category,energy_consuption
1/28/2016 0:00,40,0,19.20,47.09,18.39,46.90,19.79,45.29,18.10,48.29,17.39,54.00,9.80,99.90,17.53,45.52,17.60,51.50,17.00,49.20,9.80,755.80,96.00,6.00,61.00,9.20,Weekday,Thursday,0,Morning,40
1/30/2016 0:00,50,0,20.03,43.73,19.50,43.20,19.89,44.59,16.60,46.29,16.70,51.79,9.00,85.80,16.81,42.42,19.20,51.45,16.29,47.59,9.10,760.20,82.00,9.00,40.00,6.20,Weekend,Saturday,0,Morning,50
1/31/2016 0:00,50,0,21.60,42.09,20.82,41.23,20.79,44.59,18.70,42.93,18.48,52.83,3.76,99.30,17.00,39.40,20.79,50.19,16.50,47.20,4.50,754.70,87.00,5.00,29.00,2.50,Weekend,Sunday,0,Morning,50
2/1/2016 0:00,40,20,22.23,46.43,21.29,46.13,21.70,46.50,19.29,49.70,20.09,53.10,11.39,99.90,18.98,50.15,21.70,55.15,17.29,51.70,11.50,755.50,94.00,8.00,27.00,10.50,Weekday,Monday,0,Morning,60
2/2/2016 0:00,70,20,22.93,45.26,22.03,44.29,23.20,45.26,21.50,48.90,20.29,62.26,10.19,99.76,18.81,45.72,20.93,55.31,17.89,50.47,10.20,759.60,95.00,9.00,61.00,9.40,Weekday,Tuesday,0,Morning,90
2/3/2016 0:00,60,30,21.86,44.66,21.29,42.79,21.63,45.43,21.50,45.79,20.00,68.10,4.47,95.83,18.53,40.90,21.51,51.92,18.10,46.59,5.40,758.50,85.00,6.00,40.00,3.00,Weekday,Wednesday,0,Morning,90
2/5/2016 0:00,60,20,22.39,44.00,21.60,43.00,21.99,44.20,21.13,46.26,19.18,71.92,7.90,96.06,18.48,41.08,21.35,52.77,18.29,46.90,7.30,765.20,93.00,2.00,23.00,6.30,Weekday,Friday,0,Morning,80
2/6/2016 0:00,60,0,22.29,45.06,21.67,43.50,22.60,45.29,20.20,47.79,18.71,56.29,9.19,88.90,18.60,43.25,20.89,53.48,18.70,49.29,9.30,757.30,85.00,5.00,40.00,6.80,Weekend,Saturday,0,Morning,60
2/7/2016 0:00,20,0,22.79,43.16,22.13,42.76,21.67,44.76,19.17,44.40,19.38,64.52,10.46,61.83,18.79,39.96,22.40,50.58,19.00,48.06,10.60,742.60,66.00,9.00,40.00,4.50,Weekend,Sunday,0,Morning,20
2/9/2016 0:00,50,0,23.02,42.48,22.39,41.26,23.50,42.79,21.70,44.09,20.90,49.58,6.12,75.49,19.14,36.96,22.25,48.03,18.89,43.03,6.40,744.70,80.00,11.00,22.00,3.20,Weekday,Tuesday,0,Morning,50
2/10/2016 0:00,70,0,22.50,42.73,21.76,40.59,22.60,43.40,19.10,40.76,19.29,50.65,2.16,92.12,20.10,39.86,23.20,45.69,18.89,42.93,3.00,738.70,88.00,6.00,40.00,1.20,Weekday,Wednesday,0,Morning,70
2/12/2016 0:00,70,0,22.20,41.29,21.32,40.47,21.50,42.70,20.70,41.73,19.31,56.43,2.90,92.00,20.11,39.64,23.20,47.63,18.60,43.09,3.00,748.10,95.00,3.00,25.00,2.20,Weekday,Friday,0,Morning,70
2/14/2016 0:00,50,10,21.79,39.90,20.10,40.79,21.39,40.59,19.20,41.00,18.20,52.00,3.53,91.93,19.10,37.07,21.79,44.72,18.00,41.93,2.90,732.90,98.00,2.00,31.00,2.60,Weekend,Sunday,0,Morning,60
2/16/2016 0:00,60,30,21.39,39.00,19.39,39.84,21.00,39.47,21.97,38.59,19.20,42.90,-1.53,79.82,19.20,31.63,21.79,40.24,18.00,39.09,-0.60,768.60,92.00,2.00,29.00,-1.80,Weekday,Tuesday,0,Morning,90
2/17/2016 0:00,60,0,21.76,34.86,19.50,35.43,20.50,37.09,19.89,34.79,19.46,58.09,-4.47,76.30,19.60,27.93,21.89,38.72,18.20,39.06,-3.00,768.40,88.00,1.00,64.00,-4.80,Weekday,Wednesday,0,Morning,60
2/18/2016 0:00,60,0,21.00,35.63,19.17,36.83,19.89,36.86,18.60,35.84,18.89,42.73,-1.76,80.87,18.70,29.36,21.53,39.79,17.96,38.09,-0.20,755.30,90.00,3.00,62.00,-1.60,Weekday,Thursday,0,Morning,60
2/19/2016 0:00,40,0,21.29,35.26,19.79,35.73,19.79,36.90,19.07,36.47,17.20,44.70,1.79,79.26,17.50,31.20,20.50,39.83,17.44,38.02,0.30,758.00,99.00,1.00,11.00,0.10,Weekday,Friday,0,Morning,40
2/20/2016 0:00,30,0,19.79,36.26,17.96,37.53,20.89,35.90,18.20,36.59,17.14,43.20,5.30,69.53,18.00,30.73,19.53,37.66,17.53,37.19,6.10,757.40,72.00,9.00,40.00,1.30,Weekend,Saturday,0,Morning,30
2/21/2016 0:00,50,0,21.89,43.46,20.53,43.47,21.79,41.96,23.63,43.53,18.43,54.79,10.50,93.03,18.10,42.29,21.50,52.13,17.89,44.79,10.90,754.70,89.00,11.00,25.00,9.10,Weekend,Sunday,0,Morning,50
2/22/2016 0:00,40,20,22.13,44.59,20.82,44.36,21.89,44.09,22.36,45.40,18.60,56.90,10.56,80.54,18.50,43.50,22.00,51.86,18.46,46.76,10.40,753.80,83.00,9.00,40.00,7.60,Weekday,Monday,0,Morning,60
2/24/2016 0:00,50,0,21.57,40.79,19.60,41.09,21.00,40.40,20.60,38.40,19.29,79.27,-0.47,84.06,19.00,37.29,20.73,45.79,18.23,41.06,0.10,760.60,97.00,2.00,20.00,-0.30,Weekday,Wednesday,0,Morning,50
2/25/2016 0:00,60,20,21.73,37.40,19.89,38.47,20.60,38.53,22.76,36.90,19.10,51.93,-1.13,82.06,19.70,35.10,22.39,41.24,18.02,37.78,0.40,755.80,87.00,2.00,20.00,-1.60,Weekday,Thursday,0,Morning,80
2/26/2016 0:00,30,0,21.60,38.76,19.89,39.56,21.29,38.06,21.82,36.69,19.39,44.29,2.59,80.19,19.24,35.79,21.36,40.46,17.89,37.57,2.00,757.20,95.00,1.00,53.00,1.20,Weekday,Friday,0,Morning,30
2/27/2016 0:00,50,0,21.00,37.40,19.39,37.00,20.50,36.97,19.89,35.20,19.60,70.70,0.83,64.19,18.70,34.20,20.70,43.09,17.70,38.27,1.70,751.00,85.00,2.00,20.00,-0.60,Weekend,Saturday,0,Morning,50
2/28/2016 0:00,50,0,21.29,35.29,19.53,34.90,20.89,35.97,19.29,33.16,17.81,52.90,0.70,53.79,19.70,31.33,22.36,38.46,18.00,38.50,1.10,753.90,73.00,5.00,22.00,-3.30,Weekend,Sunday,0,Morning,50
2/29/2016 0:00,60,0,20.03,33.33,18.10,34.30,19.60,35.26,18.79,32.70,18.29,73.46,1.29,51.96,20.20,32.73,21.29,39.72,18.20,37.90,1.70,760.70,70.00,6.00,40.00,-3.30,Weekday,Monday,0,Morning,60
3/1/2016 0:00,70,20,21.79,35.09,19.39,37.13,21.17,35.09,21.86,33.70,19.00,40.70,-2.07,68.43,20.20,27.53,22.50,39.06,18.29,38.86,-1.00,763.60,92.00,1.00,62.00,-2.10,Weekday,Tuesday,0,Morning,90
3/3/2016 0:00,50,0,21.70,37.47,20.00,36.83,20.76,38.40,20.20,36.00,18.50,50.00,0.63,81.52,18.50,31.89,21.39,41.90,18.20,38.66,1.50,744.70,94.00,4.00,40.00,0.60,Weekday,Thursday,0,Morning,50
3/4/2016 0:00,60,10,22.24,37.01,20.39,37.29,20.79,38.00,19.89,35.38,19.14,52.12,1.45,78.46,19.10,31.35,21.60,41.47,18.50,39.03,2.70,748.00,86.00,3.00,29.00,0.60,Weekday,Friday,0,Morning,70
3/5/2016 0:00,50,0,21.23,37.33,18.70,39.79,21.39,37.59,19.39,36.13,18.73,46.66,0.90,77.26,18.60,32.09,21.70,40.33,18.29,38.70,0.50,740.50,97.00,1.00,62.00,0.10,Weekend,Saturday,0,Morning,50
3/6/2016 0:00,30,0,19.70,37.70,17.50,40.00,20.10,37.15,17.89,37.09,18.70,57.49,3.66,75.73,18.36,31.68,21.10,38.83,18.00,37.72,3.40,744.50,92.00,4.00,40.00,2.20,Weekend,Sunday,0,Morning,30
3/7/2016 0:00,40,20,20.00,37.86,17.70,39.79,20.20,38.73,20.20,37.26,17.79,68.52,-0.87,77.06,17.89,31.70,21.50,42.27,17.57,37.20,0.00,747.70,98.00,1.00,49.00,-0.30,Weekday,Monday,0,Morning,60
3/8/2016 0:00,60,30,20.89,37.97,18.36,40.27,21.10,37.00,20.93,35.97,18.29,49.73,0.63,77.93,18.29,33.76,20.50,40.19,17.50,36.33,0.40,753.60,96.00,1.00,64.00,-0.10,Weekday,Tuesday,0,Morning,90
3/10/2016 0:00,60,20,20.70,36.59,18.10,39.90,19.89,37.56,21.10,35.43,18.29,58.03,5.16,48.43,18.20,33.83,20.60,40.93,17.29,36.76,4.10,750.70,78.00,2.00,26.00,0.60,Weekday,Thursday,0,Morning,80
1/12/2016 0:10,30,20,21.29,44.83,20.70,44.00,20.20,45.59,20.57,46.93,19.20,50.50,5.53,89.03,17.70,43.93,19.46,51.50,16.89,45.79,5.27,737.00,92.00,6.00,25.00,4.07,Weekday,Tuesday,0,Morning,50
1/13/2016 0:10,30,0,19.39,43.20,18.70,43.20,19.89,44.84,19.00,43.59,17.29,51.40,6.00,80.96,17.80,42.59,18.73,51.79,17.00,46.83,5.88,747.53,81.33,8.00,37.83,2.83,Weekday,Wednesday,0,Morning,30
1/14/2016 0:10,50,0,19.29,42.09,18.63,41.33,20.26,43.63,18.79,41.29,18.29,67.66,1.60,89.43,18.10,39.97,19.60,49.13,16.60,43.26,2.82,755.37,89.17,5.00,28.67,1.23,Weekday,Thursday,0,Morning,50
1/15/2016 0:10,60,0,23.70,39.59,22.79,39.40,21.20,43.20,18.70,44.09,18.70,55.79,1.39,90.64,18.60,41.53,19.70,48.90,17.10,46.09,0.67,749.28,95.00,9.17,49.00,0.00,Weekday,Friday,0,Morning,60
1/16/2016 0:10,50,0,22.89,40.13,22.10,38.93,21.00,41.90,21.13,43.79,20.20,59.50,2.00,94.40,18.79,40.40,20.60,47.56,17.89,47.06,2.38,761.16,96.83,3.17,29.00,1.86,Weekend,Saturday,0,Morning,50
1/17/2016 0:10,40,0,22.43,39.29,21.50,38.13,21.39,42.20,21.10,41.16,18.60,52.86,0.40,96.37,19.70,39.13,21.39,46.33,17.70,41.93,0.55,764.50,96.00,2.17,27.50,0.03,Weekend,Sunday,0,Morning,40
1/18/2016 0:10,50,10,21.79,39.93,20.17,40.09,20.39,39.79,21.10,39.83,19.39,67.02,-4.60,88.77,20.29,37.03,21.70,44.84,17.67,38.47,-2.88,763.58,86.00,2.00,25.50,-4.98,Weekday,Monday,0,Morning,60
1/19/2016 0:10,50,0,20.39,39.20,19.13,39.36,19.96,40.29,20.26,38.40,17.53,64.94,-6.03,82.09,17.97,33.52,20.06,44.04,16.86,39.06,-4.52,756.60,87.67,1.00,65.00,-6.23,Weekday,Tuesday,0,Morning,50
1/20/2016 0:10,50,0,19.79,38.76,18.79,39.03,19.10,39.06,18.50,37.59,17.73,52.73,-5.76,84.68,17.39,32.06,20.13,43.06,16.39,39.53,-4.55,758.78,94.00,1.17,58.17,-5.45,Weekday,Wednesday,0,Morning,50
1/21/2016 0:10,50,0,19.70,38.26,19.20,37.90,18.70,39.65,19.13,38.00,16.82,57.93,0.60,96.80,16.20,33.50,19.70,45.46,15.89,40.63,-0.17,761.87,88.33,2.00,60.17,-1.90,Weekday,Thursday,0,Morning,50
1/23/2016 0:10,50,0,17.60,41.29,16.60,41.79,17.89,40.29,15.53,40.97,15.72,48.50,4.62,99.73,15.89,36.39,17.00,44.09,15.33,40.66,4.52,763.10,100.00,4.83,7.33,4.52,Weekend,Saturday,0,Morning,50
1/24/2016 0:10,40,0,19.03,41.83,18.53,41.29,18.10,43.79,15.89,47.53,15.39,51.03,5.50,99.90,15.56,40.14,19.59,51.06,15.10,46.76,5.13,769.58,92.00,4.83,23.17,3.93,Weekend,Sunday,0,Morning,40
1/25/2016 0:10,50,0,21.39,42.29,20.53,41.70,20.20,44.20,18.03,47.03,18.30,57.83,8.39,99.90,16.25,44.10,18.32,50.06,16.29,49.76,8.02,766.97,94.83,2.00,62.00,7.20,Weekday,Monday,0,Morning,50
1/27/2016 0:10,50,20,21.29,45.23,20.76,44.06,20.73,45.00,21.29,44.80,18.00,67.18,9.69,88.10,18.40,45.04,17.89,49.20,17.00,47.40,9.88,759.43,80.17,10.00,40.00,6.52,Weekday,Wednesday,0,Morning,70
1/28/2016 0:10,40,0,19.13,47.16,18.39,46.90,19.79,45.29,18.10,48.29,17.39,54.00,9.80,99.90,17.52,45.59,17.60,51.50,17.00,49.20,9.83,755.93,95.83,5.67,55.33,9.20,Weekday,Thursday,0,Morning,40
1/29/2016 0:10,50,0,18.70,43.50,17.79,44.09,19.50,43.09,17.50,43.79,17.00,51.42,0.90,96.59,17.72,38.91,17.80,45.20,16.70,43.79,3.07,765.18,85.50,5.00,40.00,0.87,Weekday,Friday,0,Morning,50
2/5/2016 0:10,60,20,22.39,44.00,21.60,43.00,22.00,44.23,21.20,46.29,19.11,71.42,7.87,96.13,18.48,41.16,21.29,52.98,18.29,46.97,7.25,765.20,93.67,1.83,27.17,6.35,Weekday,Friday,0,Morning,80
2/6/2016 0:10,50,0,22.29,45.00,21.60,43.56,22.60,45.23,20.13,47.79,18.70,56.29,9.30,88.73,18.60,43.27,20.87,53.56,18.76,49.36,9.35,757.25,84.83,5.00,40.00,6.83,Weekend,Saturday,0,Morning,50
2/7/2016 0:10,20,0,22.76,43.20,22.07,42.79,21.60,44.70,19.17,44.40,19.30,64.16,10.53,61.46,18.79,40.00,22.39,50.96,19.00,48.23,10.65,742.52,65.67,8.83,40.00,4.47,Weekend,Sunday,0,Morning,20
2/9/2016 0:10,50,0,23.00,42.70,22.29,41.29,23.45,42.72,21.63,43.96,20.89,49.24,5.97,74.90,19.15,37.02,22.29,48.45,18.89,43.16,6.37,744.72,79.83,10.83,23.00,3.12,Weekday,Tuesday,0,Morning,50
2/10/2016 0:10,70,0,22.39,42.56,21.70,40.59,22.60,43.33,19.10,40.79,19.29,50.70,2.36,92.12,20.10,39.90,23.16,45.87,18.89,43.13,3.05,738.75,88.00,6.33,44.00,1.25,Weekday,Wednesday,0,Morning,70
2/11/2016 0:10,70,20,21.13,43.47,20.67,41.36,20.82,42.23,20.10,44.86,19.72,73.21,2.53,90.83,20.21,40.41,23.04,48.04,18.89,43.13,3.32,747.37,97.17,3.00,63.17,2.85,Weekday,Thursday,0,Morning,90
2/14/2016 0:10,50,0,21.79,39.90,20.03,40.73,21.39,40.59,19.20,41.06,18.20,52.02,3.47,92.16,19.10,37.28,21.79,44.79,18.00,42.13,2.87,732.95,98.17,2.17,28.50,2.60,Weekend,Sunday,0,Morning,50
2/16/2016 0:10,60,20,21.39,39.09,19.36,40.03,21.00,39.53,22.26,38.16,19.26,43.00,-1.73,80.06,19.20,31.76,21.76,40.40,18.00,39.20,-0.60,768.67,91.33,1.83,28.50,-1.90,Weekday,Tuesday,0,Morning,80
2/17/2016 0:10,60,0,21.70,35.00,19.43,35.43,20.39,37.00,19.79,34.83,19.36,57.22,-4.50,76.40,19.60,28.07,21.86,38.86,18.20,39.09,-3.12,768.25,88.67,1.17,63.83,-4.80,Weekday,Wednesday,0,Morning,60
2/18/2016 0:10,60,0,20.93,35.63,19.10,36.90,19.89,36.91,18.60,35.79,18.85,42.46,-1.79,80.72,18.70,29.39,21.50,39.86,17.96,38.16,-0.25,755.33,90.17,3.00,61.83,-1.63,Weekday,Thursday,0,Morning,60
2/19/2016 0:10,50,10,21.20,35.20,19.79,35.86,19.79,36.99,19.00,36.40,17.16,44.79,1.73,79.12,17.50,31.20,20.44,39.90,17.41,38.04,0.27,758.07,99.00,1.00,10.83,0.08,Weekday,Friday,0,Morning,60
2/21/2016 0:10,50,0,21.82,43.53,20.55,43.50,21.79,42.00,23.36,43.33,18.45,54.81,10.46,93.03,18.10,42.23,21.50,52.20,18.00,44.90,10.82,754.77,89.50,10.83,31.50,9.10,Weekend,Sunday,0,Morning,50
2/22/2016 0:10,40,20,22.10,44.59,20.79,44.33,21.89,44.03,22.36,45.40,18.60,56.90,10.33,79.88,18.50,43.43,22.07,52.09,18.50,46.79,10.30,753.70,83.50,8.67,40.00,7.58,Weekday,Monday,0,Morning,60
2/23/2016 0:10,60,30,21.60,43.59,20.17,44.20,21.39,42.20,21.60,43.59,19.50,53.75,4.50,87.26,19.29,43.13,21.79,49.03,18.50,44.90,4.33,753.87,92.67,2.67,60.83,3.18,Weekday,Tuesday,0,Morning,90
2/24/2016 0:10,50,0,21.50,40.73,19.53,41.09,20.96,40.40,20.60,38.47,19.20,77.53,-0.40,84.12,19.00,37.40,20.70,45.79,18.20,41.20,0.22,760.62,96.83,1.83,27.17,-0.22,Weekday,Wednesday,0,Morning,50
2/25/2016 0:10,70,20,21.70,37.50,19.86,38.56,20.60,38.59,22.63,36.90,19.05,52.15,-1.20,82.09,19.70,35.29,22.36,41.46,18.06,37.93,0.37,755.80,87.50,2.00,20.17,-1.55,Weekday,Thursday,0,Morning,90
2/26/2016 0:10,30,0,21.50,39.09,19.79,39.40,21.29,38.06,21.76,36.47,19.39,44.23,2.59,80.30,19.24,35.86,21.29,40.80,17.89,37.76,1.97,757.15,94.67,1.17,52.67,1.13,Weekday,Friday,0,Morning,30
2/27/2016 0:10,50,0,21.00,37.40,19.39,36.93,20.50,37.06,19.79,35.20,19.51,69.78,0.97,64.53,18.70,34.40,20.70,43.09,17.70,38.47,1.78,750.93,84.00,2.17,20.33,-0.68,Weekend,Saturday,0,Morning,50
2/28/2016 0:10,60,0,21.23,35.23,19.50,34.83,20.89,36.00,19.29,33.20,17.82,52.80,0.67,54.10,19.63,31.45,22.29,38.66,18.00,38.50,1.05,753.90,73.17,4.83,22.00,-3.30,Weekend,Sunday,0,Morning,60
2/29/2016 0:10,70,0,20.00,33.29,18.10,34.40,19.60,35.29,18.79,32.70,18.29,72.53,1.17,52.19,20.20,32.86,21.29,39.93,18.20,38.16,1.65,760.72,70.50,6.00,40.00,-3.23,Weekday,Monday,0,Morning,70
3/1/2016 0:10,60,20,21.76,35.29,19.32,37.20,21.10,35.16,21.79,33.76,19.00,40.70,-2.13,69.03,20.20,27.60,22.39,39.43,18.29,38.90,-1.12,763.55,92.67,1.00,60.00,-2.12,Weekday,Tuesday,0,Morning,80
3/2/2016 0:10,40,0,21.00,40.09,19.39,41.70,20.60,38.47,19.60,39.47,19.20,49.10,8.30,86.90,18.50,35.79,20.82,46.97,17.89,40.53,8.50,750.08,92.33,8.83,29.17,7.33,Weekday,Wednesday,0,Morning,40
3/3/2016 0:10,50,0,21.60,37.50,20.00,36.90,20.70,38.50,20.20,36.06,18.50,50.00,0.70,81.53,18.53,31.93,21.36,42.33,18.20,38.86,1.63,744.63,93.17,4.17,40.00,0.62,Weekday,Thursday,0,Morning,50
3/4/2016 0:10,50,0,22.20,36.93,20.35,37.29,20.79,37.90,19.89,35.40,19.10,52.33,1.55,78.50,19.10,31.39,21.56,41.62,18.50,39.15,2.78,747.83,85.33,3.17,30.83,0.55,Weekday,Friday,0,Morning,50
3/6/2016 0:10,30,0,19.63,37.70,17.39,39.90,20.10,37.20,17.89,37.09,18.63,57.10,3.70,75.80,18.32,31.76,21.10,39.27,18.00,37.83,3.40,744.53,92.17,4.17,37.83,2.22,Weekend,Sunday,0,Morning,30
3/9/2016 0:10,50,0,20.70,37.90,17.84,40.65,20.10,38.09,19.39,35.20,18.20,47.20,5.06,75.39,18.39,34.20,20.60,41.09,17.50,38.26,4.60,753.87,74.50,6.00,40.00,0.42,Weekday,Wednesday,0,Morning,50
3/11/2016 0:10,50,0,21.53,37.93,18.76,39.90,21.10,37.97,20.70,33.79,18.39,51.50,2.03,57.50,19.70,33.86,21.86,40.02,18.13,40.00,1.95,763.00,84.83,1.00,60.17,-0.37,Weekday,Friday,0,Morning,50
3/12/2016 0:10,50,0,21.07,36.56,18.39,39.70,20.10,36.59,19.70,34.79,18.86,42.90,3.10,58.70,20.00,29.82,22.10,40.63,18.50,39.59,5.18,766.55,84.50,2.17,47.00,2.72,Weekend,Saturday,0,Morning,50
1/12/2016 0:20,40,20,21.29,44.97,20.63,44.00,20.17,45.50,20.50,47.13,19.20,50.43,5.53,89.40,17.76,44.33,19.39,51.56,16.89,45.86,5.23,737.10,92.00,6.00,28.00,4.03,Weekday,Tuesday,0,Morning,60
1/13/2016 0:20,20,0,19.39,43.26,18.70,43.26,19.89,44.86,18.96,43.63,17.29,51.50,6.00,80.69,17.82,42.90,18.79,51.92,17.00,46.97,5.77,747.67,82.67,8.00,35.67,2.97,Weekday,Wednesday,0,Morning,20
1/14/2016 0:20,40,0,19.20,42.06,18.60,41.29,20.20,43.50,18.76,41.33,18.23,67.40,1.46,89.19,18.10,40.07,19.60,49.26,16.60,43.43,2.83,755.23,89.33,5.00,28.33,1.27,Weekday,Thursday,0,Morning,40
1/15/2016 0:20,50,0,23.70,39.56,22.79,39.40,21.20,43.26,18.70,44.02,18.63,55.73,1.39,91.80,18.60,41.66,19.67,48.93,17.10,46.16,0.53,749.27,96.00,9.33,46.00,0.00,Weekday,Friday,0,Morning,50
1/16/2016 0:20,30,0,22.89,40.20,22.03,39.00,21.00,41.90,21.00,43.70,20.20,58.83,2.06,94.47,18.79,40.47,20.60,47.83,17.89,47.00,2.35,761.22,96.67,3.33,30.00,1.82,Weekend,Saturday,0,Morning,30
1/18/2016 0:20,40,10,21.73,40.00,20.07,40.07,20.32,39.79,21.10,39.90,19.39,66.50,-4.57,89.05,20.23,37.09,21.70,45.30,17.60,38.40,-2.97,763.47,86.00,2.00,26.00,-5.07,Weekday,Monday,0,Morning,50
1/19/2016 0:20,50,0,20.32,39.20,19.07,39.36,19.89,40.29,20.20,38.40,17.50,64.65,-6.07,82.56,17.96,33.58,20.06,44.31,16.84,39.05,-4.53,756.60,88.33,1.00,65.00,-6.17,Weekday,Tuesday,0,Morning,50
1/20/2016 0:20,40,0,19.70,38.83,18.77,39.09,19.10,39.00,18.39,37.73,17.70,52.10,-5.44,86.11,17.39,32.23,20.20,43.46,16.39,39.66,-4.60,758.77,94.00,1.33,56.33,-5.50,Weekday,Wednesday,0,Morning,40
1/21/2016 0:20,40,0,19.67,38.29,19.13,37.90,18.70,39.70,18.96,37.90,16.79,57.89,0.60,96.80,16.20,33.56,19.70,45.70,15.89,40.76,-0.33,761.93,88.67,2.00,59.33,-2.00,Weekday,Thursday,0,Morning,40
1/22/2016 0:20,40,0,20.39,37.06,19.53,36.66,19.50,40.06,17.00,38.03,17.60,43.84,-1.60,94.93,16.67,32.02,19.49,44.03,15.89,40.47,-0.10,765.10,88.33,3.67,61.00,-1.77,Weekday,Friday,0,Morning,40
1/23/2016 0:20,40,0,17.60,41.29,16.60,41.79,17.89,40.36,15.57,41.00,15.69,48.50,4.76,99.80,15.89,36.40,17.00,44.11,15.33,40.70,4.53,763.20,100.00,4.67,6.67,4.53,Weekend,Saturday,0,Morning,40
1/25/2016 0:20,50,0,21.36,42.29,20.50,41.70,20.26,44.26,18.00,47.00,18.29,57.69,8.46,99.90,16.28,44.09,18.29,50.07,16.29,49.79,8.03,766.93,94.67,2.00,62.00,7.20,Weekday,Monday,0,Morning,50
1/26/2016 0:20,380,20,21.29,43.09,20.70,42.50,20.60,44.40,21.52,44.83,17.89,51.33,9.53,96.96,17.79,42.00,18.70,48.00,17.00,47.59,9.90,764.17,86.00,4.00,26.00,7.63,Weekday,Tuesday,0,Morning,400
